Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
you_can_not_raid_that_door,You can't break down this door,You can't break down this door,Du kannst diese Tür nicht aufbrechen.,你不能打破这扇门,你不能打破這扇門,Вы не можете сломать эту дверь,Ty dveře nemůžeš rozbít,Nie możesz wyważyć tych drzwi,Nem lehet betörni ezt az ajtót,Non puoi sfondare questa porta,Tu ne peux pas enfoncer cette porte,Tu ne peux pas enfoncer cette porte,Você não pode quebrar esta porta,このドアを壊すことはできません,
can_not_unlook_door,You cannot break this door.,You cannot break this door.,Du kannst die Tür nicht aufschließen.,你不能打破这扇门。,你不能打破這扇門。,Вы не можете сломать эту дверь.,Ty dveře nemůžeš rozbít.,Nie możesz wyłamać tych drzwi.,Nem lehet betörni ezt az ajtót.,Non puoi sfondare questa porta.,Vous ne pouvez pas briser cette porte.,Vous ne pouvez pas briser cette porte.,Você não pode quebrar esta porta.,このドアを壊すことはできません。,
can_not_look_door,You cannot lock the door.,You cannot lock the door.,Du kannst die Tür nicht abschließen.,您不能锁门。,您不能鎖門。,Вы не можете запереть дверь.,Nemůžete zamknout dveře.,Nie możesz zamknąć drzwi.,Nem lehet bezárni az ajtót.,Non puoi chiudere a chiave la porta.,Vous ne pouvez pas verrouiller la porte.,Vous ne pouvez pas verrouiller la porte.,Você não pode trancar a porta.,ドアをロックすることはできません。,
door_is_looked,Door is locked,Door is locked,Tür ist verschlossen,门已上锁,門已上鎖,Дверь заперта,Dveře jsou zamčené,Drzwi są zamknięte,Ajtó zárva van,La porta è chiusa,La porte est verrouillée,La porte est verrouillée,Porta está trancada,ドアがロックされています,
building_has_alrready_an_owner,The building already has an owner.,The building already has an owner.,Das Gebäude hat schon einen Besitzer.,该建筑物已拥有所有者。,該建築物已擁有所有者。,У здания уже есть собственник.,Budova již má vlastníka.,Budynek ma już właściciela.,Az épületnek már van tulajdonosa.,L'edificio ha già un proprietario.,Le bâtiment a déjà un propriétaire.,Le bâtiment a déjà un propriétaire.,O prédio já tem dono.,建物にはすでに所有者がいます。,
open_trader_menu,Open dealer.,Open dealer.,Händler öffnen.,打开经销商。,打開經銷商。,Открыть дилера.,Otevřený prodejce.,Otwórz dealera.,Nyitott kereskedő.,Rivenditore aperto.,Concessionnaire ouvert.,Concessionnaire ouvert.,Revendedor aberto.,オープンディーラー。,
Trader,Dealer,Dealer,Händler,经销商,經銷商,Дилер,Obchodník,Kupiec,Kereskedő,Rivenditore,Marchand,Marchand,Distribuidor,ディーラー,
Quantity,Quantity,Quantity,Menge,数量,數量,Количество,Množství,Ilość,Mennyiség,Quantità,Quantité,Quantité,Quantidade,量,
trade_was_successful,Trade was successful.,Trade was successful.,Handel war erfolgreich.,贸易成功。,貿易成功。,Торговля прошла успешно.,Obchod byl úspěšný.,Handel zakończył się sukcesem.,A kereskedelem sikeres volt.,Il commercio ha avuto successo.,Le commerce a réussi.,Le commerce a réussi.,O comércio foi bem-sucedido.,貿易は成功しました。,
you_have_to_trade_minimum_one_item,You must trade at least one item.,You must trade at least one item.,Du musst mindestens ein Gegenstand handeln.,您必须交易至少一件商品。,您必須交易至少一件商品。,Вы должны обменять хотя бы один предмет.,Musíte vyměnit alespoň jednu položku.,Musisz wymienić przynajmniej jeden przedmiot.,Legalább egy tételt el kell cserélnie.,Devi scambiare almeno un articolo.,Vous devez échanger au moins un objet.,Vous devez échanger au moins un objet.,Você deve negociar pelo menos um item.,少なくとも1つのアイテムを取引する必要があります。,
not_all_items_found_that_you_want_to_trade,Not found all items you want to trade.,Not found all items you want to trade.,"Nicht alle Gegenstände gefunden,die du handeln willst.",找不到您要交易的所有商品。,找不到您要交易的所有商品。,"Не найдены все предметы, которыми вы хотите обменять.","Nebyly nalezeny všechny položky, se kterými chcete obchodovat.","Nie znaleziono wszystkich przedmiotów, które chcesz wymienić.",Nem található az összes kereskedni kívánt elem.,Non sono stati trovati tutti gli articoli che desideri scambiare.,Vous n'avez pas trouvé tous les articles que vous souhaitez échanger.,Vous n'avez pas trouvé tous les objets que vous souhaitez échanger.,Não foram encontrados todos os itens que deseja trocar.,取引したいすべてのアイテムが見つかりませんでした。,
previewtext,Press middle mouse wheel for a preview.,Press middle mouse wheel for a preview.,Drücke Mittelmausrad für Vorschau!,按下鼠标中键进行预览。,按下鼠標中鍵進行預覽。,Нажмите среднее колесо мыши для предварительного просмотра.,Stisknutím prostředního kolečka myši zobrazíte náhled.,"Naciśnij środkowe kółko myszy, aby wyświetlić podgląd.",Az előnézet megtekintéséhez nyomja meg a középső egérgombot.,Premere la rotellina centrale del mouse per un'anteprima.,Appuyez sur la molette centrale de la souris pour un aperçu.,Appuyez sur la molette centrale de la souris pour un aperçu.,Pressione a roda do meio do mouse para uma visualização.,プレビューするには、マウスの中輪を押します。,
Inventory,Inventory,Inventory,Inventar,存货,存貨,Инвентарь,Inventář,Inwentarz,Leltár,Inventario,Inventaire,Inventaire,Inventário,在庫,
desc_storage_1,"crate with 50 slots,can randomly despawn","crate with 50 slots,can randomly despawn","Kiste mit 50 Slots,kann zufällig verschwinden",带有50个插槽的箱子，可以随机生成,帶有50個插槽的箱子，可以隨機生成,"Ящик с 50 слотами, может исчезнуть случайным образом.","přepravka s 50 sloty, lze náhodně despawn","skrzynia z 50 miejscami, może losowo zniknąć","láda 50 résszel, véletlenszerűen el tud hajni","cassa con 50 slot, può sparire casualmente","caisse avec 50 emplacements, peut disparaître au hasard","caisse avec 50 emplacements, peut disparaître au hasard","caixa com 50 slots, pode despawn aleatoriamente",50スロットのクレート、ランダムにデスポーンできます,
desc_storage_3,"crate with 50 slots,can randomly despawn","crate with 150 slots,can randomly despawn","Kiste mit 150 Slots,kann zufällig verschwinden",带有50个插槽的箱子，可以随机生成,帶有50個插槽的箱子，可以隨機生成,"Ящик с 50 слотами, может исчезнуть случайным образом.","přepravka s 50 sloty, lze náhodně despawn","skrzynia z 50 miejscami, może losowo zniknąć","láda 50 résszel, véletlenszerűen el tud hajni","cassa con 50 slot, può sparire casualmente","caisse avec 50 emplacements, peut disparaître au hasard","caisse avec 50 emplacements, peut disparaître au hasard","caixa com 50 slots, pode despawn aleatoriamente",50スロットのクレート、ランダムにデスポーンできます,
desc_storage_5,"crate with 50 slots,can randomly despawn","crate with 250 slots,can randomly despawn","Kiste mit 250 Slots,kann zufällig verschwinden",带有50个插槽的箱子，可以随机生成,帶有50個插槽的箱子，可以隨機生成,"Ящик с 50 слотами, может исчезнуть случайным образом.","bedna s 50 sloty, lze náhodně despawn","skrzynia z 50 miejscami, może losowo zniknąć","láda 50 résszel, véletlenszerűen el tud hajni","cassa con 50 slot, può sparire casualmente","caisse avec 50 emplacements, peut disparaître au hasard","caisse avec 50 emplacements, peut disparaître au hasard","caixa com 50 slots, pode despawn aleatoriamente",50スロットのクレート、ランダムにデスポーンできます,
Alarm_system,Alarm system,Alarm system,Alarmanlage,警报系统,警報系統,Аварийная система,Bezpečnostní systém,System alarmowy,Riasztó berendezés,Sistema d'allarme,Système d'alarme,Système d'alarme,Sistema de alarme,警報システム,
error_buying_alarm_system,Error: Alarm system could not be purchased,Error: Alarm system could not be purchased,Fehler: Alarmanlage konnte nicht gekauft werden.,错误：无法购买报警系统,錯誤：無法購買報警系統,Ошибка: не удалось купить систему охранной сигнализации,Chyba: Výstražný systém nelze zakoupit,Błąd: nie można kupić systemu alarmowego,Hiba: A riasztórendszert nem sikerült megvásárolni,Errore: impossibile acquistare il sistema di allarme,Erreur: le système d'alarme n'a pas pu être acheté,Erreur: le système d'alarme n'a pas pu être acheté,Erro: Não foi possível adquirir o sistema de alarme,エラー：警報システムを購入できませんでした,
error_buying_storage,Error: Storage could not be purchased,Error: Storage could not be purchased,Fehler: Lager konnte nicht gekauft werden.,错误：无法购买存储空间,錯誤：無法購買存儲空間,Ошибка: не удалось приобрести хранилище,Chyba: Úložiště nelze zakoupit,Błąd: nie można kupić miejsca na dane,Hiba: Nem sikerült megvásárolni a tárhelyet,Errore: impossibile acquistare lo spazio di archiviazione,Erreur: le stockage n'a pas pu être acheté,Erreur: le stockage n'a pas pu être acheté,Erro: não foi possível comprar armazenamento,エラー：ストレージを購入できませんでした,
successfully_buy_alarm_system,Alarm system successfully purchased,Alarm system successfully purchased,Alarmanlage erfolgreich gekauft.,警报系统已成功购买,警報系統已成功購買,Система охранной сигнализации успешно куплена,Poplašný systém byl úspěšně zakoupen,System alarmowy został zakupiony pomyślnie,A riasztórendszer sikeresen megvásárolható,Sistema di allarme acquistato con successo,Système d'alarme acheté avec succès,Système d'alarme acheté avec succès,Sistema de alarme adquirido com sucesso,警報システムの購入に成功,
Alarm_System_Level,Alarm System Level,Alarm System Level,Alarmanlage Stufe,报警系统级别,報警系統等級,Уровень системы сигнализации,Úroveň výstražného systému,Poziom systemu alarmowego,Riasztórendszer szintje,Livello del sistema di allarme,Niveau du système d'alarme,Niveau du système d'alarme,Nível do Sistema de Alarme,警報システムレベル,
Alarm_system_message_1,One of your houses is being broken into.,One of your houses is being broken into.,Eins deiner Häuser wird gerade aufgebrochen.,您的其中一间房屋被盗了。,您的其中一間房屋被盜了。,Один из ваших домов взломан.,Jeden z vašich domů je vloupán.,Włamano do jednego z twoich domów.,Az egyik házadba betörnek.,Una delle tue case è stata scassinata.,Una de sus casas está siendo asaltada.,Une de vos maisons est cambriolée.,Uma de suas casas está sendo invadida.,あなたの家の1つが侵入されています。,
Alarm_system_message_2,One of your houses is being broken into. House type:,One of your houses is being broken into. House type:,Eins deiner Häuser wird gerade aufgebrochen. Haustyp:,您的其中一间房屋被盗了。房屋类型：,您的其中一間房屋被盜了。房屋類型：,Один из ваших домов взломан. Тип дома:,Jeden z vašich domů je vloupán. Typ domu:,Włamano do jednego z twoich domów. Typ domu:,Az egyik házadba betörnek. Ház típusa:,Una delle tue case è stata scassinata. Tipo di casa:,Una de sus casas está siendo asaltada. Tipo de casa:,Une de vos maisons est cambriolée. Type de maison:,Uma de suas casas está sendo invadida. Tipo de casa:,あなたの家の1つが侵入されています。家のタイプ：,
Alarm_system_message_3,One of your houses is being broken into. House type / burglar:,One of your houses is being broken into. House type / burglar:,Eins deiner Häuser wird gerade aufgebrochen. Haustyp/Einbrecher:,您的其中一间房屋被盗了。房屋类型/防盗：,您的其中一間房屋被盜了。房屋類型/防盜：,Один из ваших домов взломан. Тип дома / взломщик:,Jeden z vašich domů je vloupán. Typ domu / zloděj:,Włamano do jednego z twoich domów. Typ domu / włamywacz:,Az egyik házadba betörnek. Ház típus / betörő:,Una delle tue case è stata scassinata. Tipo di casa / ladro:,Una de sus casas está siendo asaltada. Tipo de casa / ladrón:,Une de vos maisons est cambriolée. Type de maison / cambrioleur:,Uma de suas casas está sendo invadida. Tipo de casa / assaltante:,あなたの家の1つが侵入されています。家のタイプ/泥棒：,
Alarm_system_desc_1,"Alarm system level 1,if your house is broken into you get a message","Alarm system level 1,if your house is broken into you get a message","Alarmanlage stufe 1,wenn dein Haus aufgebrochen wird bekommst du eine Nachricht",警报系统级别1，如果您的房屋被闯入，您会收到一条消息,警報系統級別1，如果您的房屋被闖入，您會收到一條消息,"Сигнализация уровня 1, если ваш дом взломан, вы получите сообщение","Poplašný systém úrovně 1, pokud je váš dům rozbit, dostanete zprávu","System alarmowy poziomu 1, jeśli włamie się do Twojego domu, otrzymasz komunikat","1. riasztórendszer, ha betörik a háza, üzenetet kap","Sistema di allarme di livello 1, se la tua casa viene scassinata ricevi un messaggio","Nivel 1 del sistema de alarma, si alguien entra en su casa, recibe un mensaje","Système d'alarme niveau 1, si votre maison est cambriolée, vous recevez un message","Sistema de alarme de nível 1, se sua casa for invadida, você receberá uma mensagem",警報システムレベル1、あなたの家があなたに侵入した場合、あなたはメッセージを受け取ります,
Alarm_system_desc_2,"Alarm system level 2,if your house is broken into you will receive a message telling you what type of house it is.","Alarm system level 2,if your house is broken into you will receive a message telling you what type of house it is.","Alarmanlage stufe 2,wenn dein Haus aufgebrochen wird bekommst du eine Nachricht um welchen Haustypen es sich handelt",警报系统级别2，如果您的房屋被闯入，您将收到一条消息，告诉您房屋的类型。,警報系統級別2，如果您的房屋被闖入，您將收到一條消息，告訴您房屋的類型。,"Сигнализация уровня 2: если ваш дом взломан, вы получите сообщение о том, что это за дом.","Poplašný systém úrovně 2, pokud je váš dům rozbitý, obdržíte zprávu, která vám řekne, o jaký typ domu jde.","System alarmowy poziomu 2, jeśli włamie się do Twojego domu, otrzymasz komunikat informujący o typie domu.","A riasztórendszer 2. szintje, ha betörik a házába, üzenetet fog kapni arról, hogy milyen típusú házról van szó.","Sistema di allarme di livello 2, se la tua casa è scassinata riceverai un messaggio che ti dice che tipo di casa è.","Nivel 2 del sistema de alarma, si su casa es forzada, recibirá un mensaje que le indicará qué tipo de casa es.","Système d'alarme niveau 2, si votre maison est cambriolée, vous recevrez un message vous indiquant de quel type de maison il s'agit.","Sistema de alarme nível 2, se a sua casa for arrombada receberá uma mensagem a dizer que tipo de casa é.",警報システムレベル2、あなたの家が侵入された場合、あなたはそれがどんなタイプの家であるかをあなたに告げるメッセージを受け取ります。,
Alarm_system_desc_3,"Alarm system level 3,when your house is broken into you get a message about which house it is and the name of the burglar.","Alarm system level 3,when your house is broken into you get a message about which house it is and the name of the burglar.","Alarmanlage stufe 3,wenn dein Haus aufgebrochen wird bekommst du eine Nachricht um welches Haus es sich handelt und denn Namen vom Einbrecher",警报系统级别3，当您的房屋被闯入时，您会收到一条消息，告知其房屋名称和防盗名称。,警報系統級別3，當您的房屋被闖入時，您會收到一條有關房屋的信息以及防盜名稱。,"Сигнализация уровня 3: при взломе вашего дома вы получаете сообщение о том, какой это дом и имя грабителя.","Poplachový systém úrovně 3, když je váš dům rozbit, dostanete zprávu o tom, který dům je, a jméno zloděje.","System alarmowy poziomu 3, gdy włamie się do twojego domu, otrzymasz informację o tym, który to dom i nazwisko włamywacza.","3. riasztórendszer, amikor betörik a házába, üzenetet kap arról, hogy melyik házról van szó, és a betörő nevéről.","Sistema di allarme di livello 3, quando la tua casa viene scassinata ricevi un messaggio su quale casa è e il nome del ladro.","Nivel 3 del sistema de alarma, cuando ingresan a su casa, recibe un mensaje sobre qué casa es y el nombre del ladrón.","Système d'alarme de niveau 3, lorsque votre maison est cambriolée, vous recevez un message indiquant de quelle maison il s'agit et le nom du cambrioleur.","Sistema de alarme de nível 3, quando sua casa é invadida você recebe uma mensagem sobre a casa e o nome do ladrão.",警報システムレベル3、あなたの家が侵入されると、それがどの家であるか、そして泥棒の名前についてのメッセージを受け取ります。,
Workzone_name,Workzone,Workzone,Arbeitsbereich,工作区,工作區,Рабочая зона,Workzone,Strefa robocza,Workzone,Zona di lavoro,Zona de trabajo,Zone de travail,Zona de Trabalho,ワークゾーン,
tool_damage,Tool damage,Tool damage,Werkzeugschaden,工具损坏,工具損壞,Повреждение инструмента,Poškození nástroje,Uszkodzenie narzędzia,Szerszámkár,Danni allo strumento,Daño de la herramienta,Dommages aux outils,Dano de ferramenta,工具の損傷,
Tool,Tool,Tool,Werkzeug,工具,工具,Инструмент,Nástroj,Narzędzie,Eszköz,Attrezzo,Herramienta,Outil,Ferramenta,ツール,
Yield,Yield,Yield,Ertrag,屈服,屈服,Урожай,Výtěžek,Wydajność,Hozam,dare la precedenza,Producir,Rendement,Produção,産出,
License,License,License,Lizenz,执照,執照,Лицензия,Licence,Licencja,Engedély,Licenza,Licencia,Licence,Licença,ライセンス,
Item,Item,Item,Gegenstand,物品,物品,Элемент,Položka,Pozycja,Tétel,Articolo,Artículo,Article,Item,項目,
chance_to_harvest,chance to harvest,chance to harvest,Erfolgschance,收获的机会,收穫的機會,Шанс собрать урожай,šance na sklizeň,szansa na zbiory,betakarítás esélye,possibilità di raccogliere,oportunidad de cosechar,chance de récolter,chance de colher,収穫のチャンス,
Workzone,Workzone,Workzone,Arbeitszonen,工作区,工作區,Рабочая зона,Workzone,Strefa robocza,Workzone,Zona di lavoro,Zona de trabajo,Zone de travail,Zona de Trabalho,ワークゾーン,
Licence,Licence,Licence,Lizenzen,执照,執照,Лицензия,Licence,Licencja,Engedély,Licenza,Licencia,Licence,Licença,ライセンス,
transfer_money,Transfer money to player,Transfer money to player,Spieler Geld übertragen,转账给玩家,轉賬給玩家,Перевести деньги игроку,Převod peněz na hráče,Przelej pieniądze do gracza,Pénz átutalása a játékosnak,Trasferisci denaro al giocatore,Transferir dinero al jugador,Transférer de l'argent au joueur,Transferir dinheiro para o jogador,プレイヤーに送金する,
no_tool_required,no tools needed,no tools needed,kein Werkzeuge benötigt,无需工具,無需工具,Инструменты не нужны,nejsou potřeba žádné nástroje,żadne narzędzia nie są potrzebne,nincs szükség eszközre,non sono necessari strumenti,no se necesitan herramientas,aucun outil nécessaire,nenhuma ferramenta necessária,ツールは必要ありません,
Give_Money_Menu,Give Money Menu,Give Money Menu,Geld geben Menü,给钱菜单,給錢菜單,Дарить деньги меню,Nabídka peněz,Daj menu pieniędzy,Adj pénzt menü,Dai il menu dei soldi,Menú Dar dinero,Menu Donner de l'argent,Menu Give Money,お金を与えるメニュー,
Give_Money,Give Money,Give Money,Geld geben,给钱,給錢,Давать деньги,Dej peníze,Dać pieniądze,Pénzt ad,Dare soldi,Dar dinero,Donner de l'argent,Dê dinheiro,お金を与える,
Spawn,Spawn,Spawn,Spawn,产生,產生,Порождать,Potěr,Ikra,Ívik,Produrre,Aparecer,Frayer,Spawn,スポーン,
SpawnPoints,Spawn Points,Spawn Points,Spawn Punkte,产生点,產生點,Точки появления,Umístit body,Punkty odrodzenia,Spawn pontok,Punti di spawn,Puntos de aparición,Points d'apparition,Pontos de Spawn,スポーンポイント,
Random,Random,Random,Zufällig,随机的,隨機的,Случайный,Náhodný,Losowy,Véletlen,Casuale,Aleatorio,Aléatoire,Aleatória,ランダム,
Civ,Civilian,Civilian,Zivilist,平民,平民,Гражданское лицо,Civilní,Cywil,Polgári,Civile,Civil,Civil,Civil,民間人,
Civil,Civilian,Civilian,Zivilist,平民,平民,Гражданское лицо,Civilní,Cywil,Polgári,Civile,Civil,Civil,Civil,民間人,
Cop,Police,Police,Polizist,警察,警察,Полиция,Policie,Policja,Rendőrség,Polizia,Policía,Police,Polícia,警察,
Medic,Paramedic,Paramedic,Sanitäter,医护人员,醫護人員,Фельдшер,"záchranář, Zdravotník, zdravotnice",Sanitariusz,Rohammentős,Paramedico,Paramédico,Paramédical,Paramédico,救急医療,
Player_list,Player list,Player list,Spielerliste,球员名单,球員名單,Список игроков,Seznam hráčů,Lista graczy,Játékoslista,Elenco giocatori,Lista de jugadores,Liste des joueurs,Lista de jogadores,プレイヤーリスト,
Cop_list,Cop list,Cop list,Polizei Liste,警察名单,警察名單,Список полицейских,Seznam policistů,Lista policjantów,Cop list,Elenco dei poliziotti,Lista de policías,Liste des flics,Lista policial,警官リスト,
update_cop_list_successful,Police list successfully updated,Police list successfully updated,Polizei Liste erfolgreich aktualisiert,警察名单已成功更新,警察名單已成功更新,Список полицейских успешно обновлен,Policejní seznam byl úspěšně aktualizován,Lista policji została pomyślnie zaktualizowana,A rendőrség listája sikeresen frissítve,Elenco di polizia aggiornato con successo,Lista de policías actualizada correctamente,Liste de police mise à jour avec succès,Lista policial atualizada com sucesso,警察リストが正常に更新されました,
save,save,save,speichern,救,救,Сохранить,Uložit,zapisać,mentés,Salva,salvar,sauvegarder,Salve ,セーブ,
manage_cops,Manage Cops,Manage Cops,Manage Cops,管理警察,管理警察,Управляйте полицейскими,Spravujte policajty,Zarządzaj glinami,Rendőrök kezelése,Gestisci i poliziotti,Administrar policías,Gérer les flics,Gerenciar policiais,警官を管理する,
Loadout,Load out,Load out,Ausrüstung,载入,載入,Загрузить,Načíst,Załaduj,Töltse ki,Carica,Cargar,Charger,Carregar,ロードアウト,
Equip,Equip,Equip,Ausstatten,装备,裝備,Оборудовать,Vybavit,Wyposażyć,Felszerelés,Equipaggia,Equipar,Équiper,Equipar,装備,
Has_a_Keys_for_my_House,Has a key,Has a key,Hat einen Schlüssel,有钥匙,有鑰匙,Есть ключ,Má klíč,Ma klucz,Van kulcsa,Ha una chiave,Tiene una llave,A une clé,Tem uma chave,キーを持っています,
keys_was_updated,Keys have been reassigned.,Keys have been reassigned.,Schlüssel wurden neu vergeben.,密钥已重新分配。,密鑰已重新分配。,Ключи переназначены.,Klíče byly přiděleny.,Klucze zostały ponownie przypisane.,A kulcsokat újra kijelölték.,Le chiavi sono state riassegnate.,Se han reasignado las llaves.,Les clés ont été réaffectées.,As chaves foram reatribuídas.,キーが再割り当てされました。,
Key_Menu,Key Menu,Key Menu,Schlüssel Menü.,按键菜单,按鍵菜單,Ключевое меню,Nabídka klíčů,Kluczowe menu,Kulcs menü,Menu chiave,Menú clave,Menu clé,Menu Chave,キーメニュー,
Apple_orchard,Apple orchard,Apple orchard,Apfelplantage,苹果园,蘋果園,Яблочный сад,Jablečný sad,sad jabłkowy,almáskert,Meleto,huerto de manzanas,verger de pommiers,Pomar de macieiras,リンゴ園,
Stone_quarry,Stone quarry,Stone quarry,Steinbruch,采石场,採石場,Каменоломня,Kamenolom,Kamieniołom,Kőbánya,Cava di pietra,Cantera de piedra,Carrière de pierre,Pedreira,石切場,
coal_mine,coal mine,coal mine,Kohlemine,煤矿,煤礦,Угольная шахта,uhelný důl,kopalnia Węgla,szénbánya,miniera di carbone,mina de carbón,mine de charbon,mina de carvão,炭鉱,
Copper_mine,Copper mine,Copper mine,Kupfermine,铜矿,銅礦,Медная шахта,Měděný důl,Kopalnia miedzi,Rézbánya,Miniera di rame,Mina de cobre,Mine de cuivre,Mina de cobre,銅鉱山,
Iron_mine,Iron mine,Iron mine,Eisenmine,铁矿,鐵礦,Железная шахта,Železný důl,Kopalnia żelaza,Vasbánya,Miniera di ferro,Mina de hierro,Mine de fer,Mina de ferro,鉄鉱山,
Gold_mine,Gold mine,Gold mine,Goldmine,金矿,金礦,Золотой рудник,Zlatý důl,Kopalnia złota,Aranybánya,Miniera d'oro,Mina de oro,Mine d'or,Mina de ouro,金鉱,
Diamond_mine,Diamond mine,Diamond mine,Diamantenmine,钻石矿,鑽石礦,Алмазный рудник,Diamantový důl,kopalnia diamentów,Gyémántbánya,Miniera di diamanti,mina de diamante,Mine de diamant,mina de diamante,ダイヤモンド鉱山,
Sawmill,Sawmill,Sawmill,Sägewerk,锯木厂,鋸木廠,Лесопильный завод,Pila,Tartak,Fűrésztelep,Segheria,Aserradero,Scierie,Serraria,製材所,
Cannabis_plantation,Cannabis plantation,Cannabis plantation,Cannabis Plantage,大麻种植园,大麻種植園,Плантации каннабиса,Plantáž konopí,Plantacja konopi,Kannabisz ültetvény,Piantagione di cannabis,Plantación de cannabis,Plantation de cannabis,Plantação de cannabis,大麻プランテーション,
Cocaine_plantation,Cocaine plantation,Cocaine plantation,Kokain Plantage,可卡因种植园,可卡因種植園,Плантация кокаина,Plantáž kokainu,Plantacja kokainy,Kokainültetvény,Piantagione di cocaina,Plantación de cocaína,Plantation de cocaïne,Plantação de cocaína,コカイン農園,
Scrap_yard,Scrap yard,Scrap yard,Schrottplatz,废料场,廢料場,Свалка металлолома,Vrakoviště,Złomowisko,Szeméttelep,Deposito rotami,Depósito de chatarra,Parc à ferraille,Sucata,くず鉄置き場,
error_category_not_found,Category not found,Category not found,Kategorie wurde nicht gefunden,找不到类别,找不到類別,Категория не найдена,Kategorie nebyla nalezena,Kategoria nie została znaleziona,Kategória nem található,Categoria non trovata,Categoría no encontrada,Catégorie introuvable,Categoria não encontrada,カテゴリが見つかりません,
open_loadout_menu,open load out menu,open load out menu,öffne Ausrüstungsmenü,打开加载菜单,打開加載菜單,Открыть меню загрузки,otevřete nabídku načtení,otwórz menu ładowania,nyissa meg a betöltés menüt,aprire il menu di caricamento,abrir el menú de carga,ouvrir le menu de chargement,abrir o menu de carregamento,ロードアウトメニューを開く,
you_recive_a_paycheck,You receive a paycheck,You receive a paycheck,Du hast deine Bezahlung bekommen,您收到薪水,您收到薪水,Вы получили зарплату,Obdržíte výplatu,Otrzymujesz wypłatę,Fizetést kap,Ricevi uno stipendio,Recibe un cheque de pago,Vous recevez un chèque de paie,Você recebe um cheque de pagamento,あなたは給料を受け取ります,
you_got_arrest_in_minutes,You got arrested. Time in Minutes,You got arrested. Time in Minutes,Du hast Arrest bekommen. Zeit in Minuten,你被捕了时间（分钟）,你被捕了時間（分鐘）,Вас арестовали. Время в минутах,Byl jsi zatčen. Čas v minutách,Zostałeś aresztowany. Czas w minutach,Letartóztattak. Idő percben,Sei stato arrestato. Tempo in minuti,Te arrestaron. Tiempo en minutos,Vous avez été arrêté. Temps en minutes,Você foi preso. Tempo em minutos,あなたは逮捕されました。分単位の時間,
you_set_arrest_to_player_in_minutes,You arrested a player. Duration in Minutes,You arrested a player. Duration in Minutes,Du hast einem Spieler Arrest gegeben. Dauer in Minuten,您逮捕了一名球员。持续时间（分钟）,您逮捕了一名球員。持續時間（分鐘）,Вы арестовали игрока. Продолжительность в минутах,Zatkli jste hráče. Doba trvání v minutách,Aresztowałeś gracza. Czas trwania w minutach,Letartóztattál egy játékost. Időtartam percekben,Hai arrestato un giocatore. Durata in minuti,Arrestaste a un jugador. Duración en minutos,Vous avez arrêté un joueur. Durée en minutes,Você prendeu um jogador. Duração em minutos,あなたはプレーヤーを逮捕しました。分単位の期間,
Give_Arrest_Menu,Arrest menu,Arrest menu,Gib Spieler Arrest,逮捕菜单,逮捕菜單,Меню ареста,Nabídka zatčení,Menu aresztowania,Letartóztatás menü,Menu di arresto,Menú de parada,Menu d'arrêt,Parar menu,逮捕メニュー,
escapee_player,Escapee player,Escapee player,Ausgebrochene Spieler,逃生玩家,逃生玩家,Сбежавший игрок,Unikající hráč,Uciekający gracz,Szökevény játékos,Giocatore in fuga,Jugador fugitivo,Joueur évadé,Escapee player,エスケーププレイヤー,
error_arrest_time_must_be_positiv_or_null,Arrest time must be positiv or null.,Arrest time must be positive or null.,Arrestzeit muss positiv oder 0 sein.,逮捕时间必须是正数或空值。,逮捕時間必須是正數或空值。,Время ареста должно быть положительным или нулевым.,Zadržovací čas musí být pozitivní nebo nulový.,Czas zatrzymania musi być dodatni lub zerowy.,Az elfogási időnek pozitívnak vagy nullának kell lennie.,Il tempo di arresto deve essere positivo o nullo.,El tiempo de detención debe ser positivo o nulo.,L'heure d'arrestation doit être positive ou nulle.,O tempo de prisão deve ser positivo ou nulo.,逮捕時間は正またはヌルでなければなりません。,
error_arrest_time_is_not_a_int,Arrest time must be an number value.,Arrest time must be an number value.,Arrestzeit muss eine Zahl sein.,逮捕时间必须是数字值。,逮捕時間必須是數字值。,Время задержания должно быть числовым.,Zadržovací čas musí být číselná hodnota.,Czas zatrzymania musi być wartością liczbową.,A letartóztatásnak számértéknek kell lennie.,Il tempo di arresto deve essere un valore numerico.,El tiempo de detención debe ser un valor numérico.,L'heure d'arrestation doit être une valeur numérique.,A hora da prisão deve ser um valor numérico.,停止時間は数値でなければなりません。,
give_arrest,Arrest player,Arrest player,Arrest geben,逮捕球员,逮捕球員,Арестовать игрока,Zatknout hráče,Aresztuj gracza,Letartóztatni a játékost,Arrestare il giocatore,Arrestar jugador,Arrêter le joueur,Prender jogador,プレーヤーを逮捕する,
wanted_list,Wanted List,Wanted List,Gesuchte Spiele,求购清单,需求清單,Список разыскиваемых,Seznam hledaných,Lista poszukiwanych,Wanted List,Lista dei ricercati,Lista de buscados,Liste recherchée,Lista de Procurados,募集リスト,
ArrestTime,Arrest Time,Arrest Time,Arrest Zeit,逮捕时间,逮捕時間,Время ареста,Čas zatčení,Czas aresztowania,Letartóztatás ideje,Tempo di arresto,Tiempo de detención,Heure d'arrestation,Hora de prisão,逮捕時間,
